ref_name,subject_name,vaccination_date_cmp,vaccination_date,vaccine_name,dosage,location,section
Liu21l,BNT_infected,~,2021-01-01,BNT162b2,1,USA,NULL
Liu21l,BNT_infected,~,2021-01-21,BNT162b2,2,USA,NULL
Liu21l,BNT,~,2021-01-01,BNT162b2,1,USA,NULL
Liu21l,BNT,~,2021-01-21,BNT162b2,2,USA,NULL
Liu21l,mRNA-1273,~,2021-01-01,mRNA-1273,1,USA,NULL
Liu21l,mRNA-1273,~,2021-01-21,mRNA-1273,2,USA,NULL
Liu21l,Ad26.COV2.S_infected,~,2021-01-01,Ad26.COV2.S,1,USA,NULL
Liu21l,Ad26.COV2.S,~,2021-01-01,Ad26.COV2.S,1,USA,NULL
Liu21l,AZD1222_infected,~,2021-01-01,AZD1222,1,USA,NULL
Liu21l,AZD1222_infected,~,2021-01-21,AZD1222,2,USA,NULL
Liu21l,AZD1222,~,2021-01-01,AZD1222,1,USA,NULL
Liu21l,AZD1222,~,2021-01-21,AZD1222,2,USA,NULL
Liu21l,mRNA-1273_boosted,~,2021-01-01,mRNA-1273,1,USA,NULL
Liu21l,mRNA-1273_boosted,~,2021-01-21,mRNA-1273,2,USA,NULL
Liu21l,mRNA-1273_boosted,~,2021-07-01,mRNA-1273,3,USA,NULL
Liu21l,BNT_Boosted,~,2021-01-01,BNT162b2,1,USA,NULL
Liu21l,BNT_Boosted,~,2021-01-21,BNT162b2,2,USA,NULL
Liu21l,BNT_Boosted,~,2021-07-01,BNT162b2,3,USA,NULL
