iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
hCoV-19/USA/WA-MG_LHLV_UK2/2021,Alpha,NULL,12312423,NULL,NULL,TRUE
hCoV-19/USA/WA-MG_LHLV_SA1/2021,Beta,NULL,12312426,NULL,NULL,TRUE
hCoV-19/USA/WA-MG_LHLV_P1/2021,Gamma,NULL,12312427,NULL,NULL,TRUE
hCoV-19/USA/WA-MG_LHLV_22D/2021,Delta,NULL,12312428,NULL,NULL,TRUE
hCoV-19/USA/WA-MG_LHLV_2E427/2021,Epsilon,NULL,12312429,NULL,NULL,TRUE
hCoV-19/USA/WA-MG_LHLV_12I/2021,Iota,NULL,12312431,NULL,NULL,TRUE
hCoV-19/USA/WA-MG_LHLV_26Z/2021,Zeta,NULL,12312433,NULL,NULL,TRUE
hCoV-19/USA/WA-MG_LVLV_19K/2021,Kappa,NULL,12312432,NULL,NULL,TRUE
hCoV-19/USA/WA_LHLV_M2/2021,Mu,NULL,12330027,NULL,NULL,TRUE
hCoV-19/USA/WA-MG_LHLV_O/2021,Omicron/BA.1,NULL,12312434,NULL,NULL,TRUE
hCoV-19/USA/WA-MG_LHLV_O/2022,Omicron/BA.2,NULL,12312435,NULL,NULL,TRUE
