ref_name,rx_name,control_variant_name,variant_name,ordinal_number,section,fold_cmp,fold,inhibition_pcnt,resistance_level,ineffective,cumulative_count,assay,date_added
Li21d,CP,S:614G,Wildtype,1,Fig 1C,=,8.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,2,Fig 1C,=,11.9,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,3,Fig 1C,=,28.9,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,4,Fig 1C,=,2.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,5,Fig 1C,=,10.0,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,6,Fig 1C,=,0.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,7,Fig 1C,=,0.05,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,8,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,9,Fig 1C,=,1.0,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,10,Fig 1C,=,10.0,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,11,Fig 1C,=,4.1,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,12,Fig 1C,=,0.8,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,13,Fig 1C,=,1.7,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,14,Fig 1C,=,0.1,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,15,Fig 1C,=,2.0,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,16,Fig 1C,=,0.6,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,17,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,18,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,19,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,20,Fig 1C,=,0.3,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,21,Fig 1C,=,4.9,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,22,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,23,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,24,Fig 1C,=,0.03,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,25,Fig 1C,=,2.9,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,26,Fig 1C,=,0.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,27,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,28,Fig 1C,=,3.5,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,29,Fig 1C,=,0.02,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,30,Fig 1C,=,10.0,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,31,Fig 1C,=,0.1,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,32,Fig 1C,=,0.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,33,Fig 1C,=,0.1,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,34,Fig 1C,=,1.7,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,35,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,36,Fig 1C,=,0.1,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,37,Fig 1C,=,2.0,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,38,Fig 1C,=,1.0,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,39,Fig 1C,=,0.3,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,40,Fig 1C,=,0.1,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,41,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,42,Fig 1C,=,0.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,43,Fig 1C,=,4.9,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,44,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,45,Fig 1C,=,0.005,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,46,Fig 1C,=,0.04,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,47,Fig 1C,=,0.01,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,Wildtype,48,Fig 1C,=,0.01,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,1,Fig 1C,=,2.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,2,Fig 1C,=,3.5,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,3,Fig 1C,=,1.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,4,Fig 1C,=,0.5,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,5,Fig 1C,=,2.9,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,6,Fig 1C,=,0.8,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,7,Fig 1C,=,14.3,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,8,Fig 1C,=,2.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,9,Fig 1C,=,119.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,10,Fig 1C,=,0.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,11,Fig 1C,=,0.1,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,12,Fig 1C,=,0.3,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,13,Fig 1C,=,0.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,14,Fig 1C,=,0.3,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,15,Fig 1C,=,1.0,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,16,Fig 1C,=,5.9,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,17,Fig 1C,=,0.8,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,18,Fig 1C,=,0.6,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,19,Fig 1C,=,0.02,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,20,Fig 1C,=,0.8,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,21,Fig 1C,=,24.2,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,22,Fig 1C,=,1.0,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,23,Fig 1C,=,1.7,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,24,Fig 1C,=,2.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,25,Fig 1C,=,7.0,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,26,Fig 1C,=,2.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,27,Fig 1C,=,0.4,50,NULL,NULL,1,NULL,2021-05-11
Li21d,CP,S:614G,B.1.1.7 Spike,28,Fig 1C,=,0.1,50,NULL,NULL,1,NULL,2021-05-11
