strain_name,parent_strain_name,site_directed,gisaid_id,genbank_accn,expandable
20A.EU2 Spike,NULL,FALSE,NULL,NULL,TRUE
B.1 clade G authentic,NULL,FALSE,568579,NULL,TRUE
B.1.1.298 Spike,NULL,FALSE,NULL,NULL,TRUE
B.1.1.7 authentic,NULL,FALSE,NULL,NULL,TRUE
B.1.1.7 S1,NULL,FALSE,NULL,NULL,TRUE
B.1.1.7 Spike,NULL,FALSE,NULL,NULL,TRUE
B.1.1.7 Spike+S:484K,NULL,FALSE,NULL,NULL,TRUE
B.1.351 authentic,NULL,FALSE,NULL,NULL,TRUE
B.1.351 NTD,NULL,FALSE,NULL,NULL,TRUE
B.1.351 RBD,NULL,FALSE,NULL,NULL,TRUE
B.1.351 RBD+S:614G,NULL,FALSE,NULL,NULL,TRUE
B.1.351 Spike,NULL,FALSE,NULL,NULL,TRUE
B.1.351 Spike:-18F-215G,NULL,FALSE,NULL,NULL,TRUE
B.1.351 Spike:-18F-242del-243del-244del-246I,NULL,FALSE,NULL,NULL,TRUE
B.1.351 Spike:-18F-246I,NULL,FALSE,NULL,NULL,TRUE
B.1.351 Spike:-246I,NULL,FALSE,NULL,NULL,TRUE
B.1.427 authentic,NULL,FALSE,NULL,NULL,TRUE
B.1.429 authentic,NULL,FALSE,NULL,NULL,TRUE
B.1.429 Spike,NULL,FALSE,NULL,NULL,TRUE
Choi20-d152,NULL,FALSE,NULL,NULL,TRUE
COH.20G/677H Spike,NULL,FALSE,NULL,NULL,TRUE
Control,NULL,FALSE,NULL,NULL,TRUE
Kemp21-d101,NULL,FALSE,NULL,NULL,TRUE
Khatamzas21-d154,NULL,FALSE,NULL,NULL,TRUE
Mink Cluster 5 Spike,NULL,FALSE,NULL,NULL,TRUE
P.1 authentic,NULL,FALSE,NULL,NULL,TRUE
P.1 Spike,NULL,FALSE,NULL,NULL,TRUE
P.2 authentic,NULL,FALSE,NULL,NULL,TRUE
P.2 Spike,NULL,FALSE,NULL,NULL,TRUE
PT188_EM,NULL,FALSE,NULL,NULL,TRUE
S:1098Q,NULL,TRUE,NULL,NULL,TRUE
S:1118H,NULL,TRUE,NULL,NULL,TRUE
S:1124V,NULL,TRUE,NULL,NULL,TRUE
S:1134Q,NULL,TRUE,NULL,NULL,TRUE
S:1147L,NULL,TRUE,NULL,NULL,TRUE
S:1158Q,NULL,TRUE,NULL,NULL,TRUE
S:1163Y,NULL,TRUE,NULL,NULL,TRUE
S:1173Q,NULL,TRUE,NULL,NULL,TRUE
S:1194Q,NULL,TRUE,NULL,NULL,TRUE
S:1229I,NULL,TRUE,NULL,NULL,TRUE
S:12P,NULL,TRUE,NULL,NULL,TRUE
S:136Y,NULL,TRUE,NULL,NULL,TRUE
S:138Y,NULL,TRUE,NULL,NULL,TRUE
S:144del,NULL,TRUE,NULL,NULL,TRUE
S:145del,NULL,TRUE,NULL,NULL,TRUE
S:145del+408I,NULL,TRUE,NULL,NULL,TRUE
S:146Y,NULL,TRUE,NULL,NULL,TRUE
S:147T,NULL,TRUE,NULL,NULL,TRUE
S:149H,NULL,TRUE,NULL,NULL,TRUE
S:149Q,NULL,TRUE,NULL,NULL,TRUE
S:165Q,NULL,TRUE,NULL,NULL,TRUE
S:17Q,NULL,TRUE,NULL,NULL,TRUE
S:18F,NULL,TRUE,NULL,NULL,TRUE
S:190S,NULL,TRUE,NULL,NULL,TRUE
S:19A,NULL,TRUE,NULL,NULL,TRUE
S:20N,NULL,TRUE,NULL,NULL,TRUE
S:215G,NULL,TRUE,NULL,NULL,TRUE
S:222V,NULL,TRUE,NULL,NULL,TRUE
S:222V+614G,NULL,TRUE,NULL,NULL,TRUE
S:234Q,NULL,TRUE,NULL,NULL,TRUE
S:239K+614G,NULL,TRUE,NULL,NULL,TRUE
S:242del+243del+244del,NULL,TRUE,NULL,NULL,TRUE
S:242del+243del+244del+614G,NULL,TRUE,NULL,NULL,TRUE
S:246A,NULL,TRUE,NULL,NULL,TRUE
S:246I,NULL,TRUE,NULL,NULL,TRUE
S:253G,NULL,TRUE,NULL,NULL,TRUE
S:253Y,NULL,TRUE,NULL,NULL,TRUE
S:26S,NULL,TRUE,NULL,NULL,TRUE
S:282Q,NULL,TRUE,NULL,NULL,TRUE
S:321L,NULL,TRUE,NULL,NULL,TRUE
S:321L+614G,NULL,TRUE,NULL,NULL,TRUE
S:324G+325D,NULL,TRUE,NULL,NULL,TRUE
S:331Q,NULL,TRUE,NULL,NULL,TRUE
S:338L,NULL,TRUE,NULL,NULL,TRUE
S:341I,NULL,TRUE,NULL,NULL,TRUE
S:341I+614G,NULL,TRUE,NULL,NULL,TRUE
S:345A,NULL,TRUE,NULL,NULL,TRUE
S:345A+517R,NULL,TRUE,NULL,NULL,TRUE
S:345N,NULL,TRUE,NULL,NULL,TRUE
S:345S,NULL,TRUE,NULL,NULL,TRUE
S:346G,NULL,TRUE,NULL,NULL,TRUE
S:346K,NULL,TRUE,NULL,NULL,TRUE
S:346S,NULL,TRUE,NULL,NULL,TRUE
S:348T,NULL,TRUE,NULL,NULL,TRUE
S:352D,NULL,TRUE,NULL,NULL,TRUE
S:354D,NULL,TRUE,NULL,NULL,TRUE
S:354D+364Y,NULL,TRUE,NULL,NULL,TRUE
S:354K,NULL,TRUE,NULL,NULL,TRUE
S:359N,NULL,TRUE,NULL,NULL,TRUE
S:367F,NULL,TRUE,NULL,NULL,TRUE
S:367F+614G,NULL,TRUE,NULL,NULL,TRUE
S:373F,NULL,TRUE,NULL,NULL,TRUE
S:378N,NULL,TRUE,NULL,NULL,TRUE
S:378R,NULL,TRUE,NULL,NULL,TRUE
S:384A,NULL,TRUE,NULL,NULL,TRUE
S:384L,NULL,TRUE,NULL,NULL,TRUE
S:392A,NULL,TRUE,NULL,NULL,TRUE
S:406W,NULL,TRUE,NULL,NULL,TRUE
S:408I,NULL,TRUE,NULL,NULL,TRUE
S:409E,NULL,TRUE,NULL,NULL,TRUE
S:414E,NULL,TRUE,NULL,NULL,TRUE
S:417E,NULL,TRUE,NULL,NULL,TRUE
S:417N,NULL,TRUE,NULL,NULL,TRUE
S:417N+484K+501Y,NULL,TRUE,NULL,NULL,TRUE
S:417N+484K+501Y+614G,NULL,TRUE,NULL,NULL,TRUE
S:417N+484K+501Y+683G,NULL,TRUE,NULL,NULL,TRUE
S:417N+614G,NULL,TRUE,NULL,NULL,TRUE
S:417T,NULL,TRUE,NULL,NULL,TRUE
S:417V,NULL,TRUE,NULL,NULL,TRUE
S:417V+614G,NULL,TRUE,NULL,NULL,TRUE
S:420R,NULL,TRUE,NULL,NULL,TRUE
S:435S,NULL,TRUE,NULL,NULL,TRUE
S:435S+614G,NULL,TRUE,NULL,NULL,TRUE
S:436R,NULL,TRUE,NULL,NULL,TRUE
S:439K,NULL,TRUE,NULL,NULL,TRUE
S:439K+614G,NULL,TRUE,NULL,NULL,TRUE
S:439K+614G+1121L,NULL,TRUE,NULL,NULL,TRUE
S:439R,NULL,TRUE,NULL,NULL,TRUE
S:440A,NULL,TRUE,NULL,NULL,TRUE
S:440K,NULL,TRUE,NULL,NULL,TRUE
S:441R,NULL,TRUE,NULL,NULL,TRUE
S:444A,NULL,TRUE,NULL,NULL,TRUE
S:444A+614G,NULL,TRUE,NULL,NULL,TRUE
S:444E,NULL,TRUE,NULL,NULL,TRUE
S:444N,NULL,TRUE,NULL,NULL,TRUE
S:444Q,NULL,TRUE,NULL,NULL,TRUE
S:444R,NULL,TRUE,NULL,NULL,TRUE
S:444T,NULL,TRUE,NULL,NULL,TRUE
S:444T+445S+446T,NULL,TRUE,NULL,NULL,TRUE
S:445A,NULL,TRUE,NULL,NULL,TRUE
S:445A+614G,NULL,TRUE,NULL,NULL,TRUE
S:445E,NULL,TRUE,NULL,NULL,TRUE
S:445G,NULL,TRUE,NULL,NULL,TRUE
S:445I,NULL,TRUE,NULL,NULL,TRUE
S:445K,NULL,TRUE,NULL,NULL,TRUE
S:445L,NULL,TRUE,NULL,NULL,TRUE
S:446D,NULL,TRUE,NULL,NULL,TRUE
S:446P+456V+484P,NULL,TRUE,NULL,NULL,TRUE
